sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
"METAL ELEPHANT SHOWPIECE",,Default,simple,DECOR/DHOKRA,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,0,0,0,1,,,,/s/s/sse2065-250x250.jpg,,,,,,,,
"NECKPIECE JEWELLERY",,Default,simple,JEWELLERY/DHOKRA,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/3/6/366060c0ab2e78f3e1f8264fc0271229.jpg,,,,,,,,
"SHELL JEWELLERY",,Default,simple,"JEWELLERY/ROCK N SHELL",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/a/3/a378842d60979d4a2f3c8a5b046cb420.jpg,,,,,,,,
"STONE JEWELLERY",,Default,simple,"JEWELLERY/ROCK N SHELL",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/2/0/20141201_162123.jpg,,,,,,,,
"EAR RINGS",,Default,simple,"JEWELLERY/EMBRIODED JEWELLERY",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/i/m/images.jpg,,,,,,,,
"EMBROIDERED FLOWER NECKLACE",,Default,simple,"JEWELLERY/EMBRIODED JEWELLERY",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/e/m/embroidered_flower_bib_necklace_1.jpg,,,,,,,,
"BAMBOO BASKETS",,Default,simple,BASKETS/BAGS/BAMBOO,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/i/m/images_1_.jpg,,,,,,,,
"JUTE HANDBAGS",,Default,simple,"BASKETS/BAGS/JUTE WORK",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/j/u/jute-handicraft-bags-250x250.jpg,,,,,,,,
"EMBROIDERED HANDBAGS",,Default,simple,"BASKETS/BAGS/WEAVING N EMBROIDERY ",base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/k/h/khatri-handicrafts-hand-embroidery-shoulder-bag-multi-b01ewfjqy4-500x500.jpg,,,,,,,,
"NECKLACE JEWELLERY",,Default,simple,JEWELLERY/DHOKRA,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,0,0,0,1,,,,/1/f/1fde7991068e04c0b623efe725c669bf.jpg,,,,,,,,
